country departure,country arrival,number of routes
Afghanistan,Afghanistan,6
Afghanistan,Bahrain,1
Afghanistan,China,1
Afghanistan,Germany,1
Afghanistan,India,5
Afghanistan,Iran,8
Afghanistan,Pakistan,2
Afghanistan,Russia,1
Afghanistan,Tajikistan,2
Afghanistan,Turkey,3
Afghanistan,United Arab Emirates,7
Albania,Austria,1
Albania,Belgium,1
Albania,Germany,1
Albania,Greece,7
Albania,Hungary,2
Albania,Italy,22
Albania,Slovenia,1
Albania,Turkey,1
Albania,United Kingdom,2
Algeria,Algeria,58
Algeria,Belgium,1
Algeria,Burkina Faso,1
Algeria,Canada,1
Algeria,China,1
Algeria,Egypt,2
Algeria,France,69
Algeria,Germany,2
Algeria,Italy,3
Algeria,Jordan,1
Algeria,Lebanon,1
Algeria,Mali,1
Algeria,Mauritania,1
Algeria,Morocco,2
Algeria,Niger,1
Algeria,Portugal,1
Algeria,Qatar,1
Algeria,Russia,1
Algeria,Senegal,1
Algeria,Spain,10
Algeria,Switzerland,1
Algeria,Syria,3
Algeria,Tunisia,2
Algeria,Turkey,2
Algeria,United Arab Emirates,1
Algeria,United Kingdom,2
American Samoa,United States of America,1
Angola,Angola,38
Angola,Brazil,2
Angola,China,1
Angola,Congo,8
Angola,Cuba,1
Angola,Egypt,1
Angola,Ethiopia,1
Angola,France,2
Angola,Gabon,1
Angola,Germany,2
Angola,Kenya,2
Angola,Mozambique,2
Angola,Namibia,3
Angola,Nigeria,1
Angola,Portugal,3
Angola,Sao Tome and Principe,1
Angola,South Africa,3
Angola,Spain,2
Angola,United Arab Emirates,2
Angola,United Kingdom,2
Angola,Zimbabwe,1
Anguilla,Antigua and Barbuda,1
Anguilla,Netherlands Antilles,1
Anguilla,Puerto Rico,1
Anguilla,Virgin Islands,1
Antigua and Barbuda,Anguilla,1
Antigua and Barbuda,Barbados,2
Antigua and Barbuda,British Virgin Islands,1
Antigua and Barbuda,Canada,2
Antigua and Barbuda,Dominica,1
Antigua and Barbuda,Dominican Republic,3
